Angle deg,Incidence angle rad,IAM_transv SAM,IAM_log SAM,IAM_transv SOL,IAM_log SOL,IAM_log SOL_real,IAM_transv SOL_real,IAM_transv SOL_old,IAM_log SOL_old
0,0,0.9896,1.0031,1.01,1,1,1,1,1
0.1,0.001745329,0.989676574,1.002707354,1.009701683,0.999894648,0.999683544,0.999525316,0.999488055,0.999765591
0.2,0.003490659,0.989752701,1.002317921,1.0094071,0.999787674,0.996518987,1,0.998981937,0.999530103
0.3,0.005235988,0.989828373,1.00193165,1.009116216,0.999679062,0.97056962,0.97943038,0.998481608,0.999293524
0.4,0.006981317,0.989903585,1.001548487,1.008828992,0.9995688,0.940189873,0.995411392,0.997987029,0.999055841
0.5,0.008726646,0.989978327,1.001168381,1.008545394,0.999456872,0.898892405,0.976582278,0.99749816,0.998817042
0.6,0.010471976,0.990052593,1.000791281,1.008265385,0.999343265,0.850632911,0.946993671,0.997014963,0.998577114
0.7,0.012217305,0.990126375,1.000417135,1.007988928,0.999227965,0.797310127,0.904113924,0.996537399,0.998336046
0.8,0.013962634,0.990199666,1.000045891,1.007715988,0.999110957,0.733860759,0.863449367,0.996065428,0.998093825
0.9,0.015707963,0.990272459,0.999677498,1.007446528,0.998992228,0.667879747,0.81835443,0.995599013,0.997850438
1,0.017453293,0.990344745,0.999311906,1.007180512,0.998871764,0.593829114,0.801898734,0.995138114,0.997605874
1.1,0.019198622,0.990416518,0.998949063,1.006917904,0.998749551,0.517405063,0.726898734,0.994682694,0.99736012
1.2,0.020943951,0.990487769,0.998588918,1.006658669,0.998625575,0.436392405,0.643037975,0.994232713,0.997113164
1.3,0.02268928,0.990558493,0.998231422,1.006402771,0.998499823,0.351265823,0.542879747,0.993788133,0.996864994
1.4,0.02443461,0.990628681,0.997876523,1.006150174,0.998372281,0.2625,0.441455696,0.993348915,0.996615599
1.5,0.026179939,0.990698325,0.997524171,1.005900843,0.998242935,0.171518987,0.334651899,0.992915022,0.996364965
1.6,0.027925268,0.990767419,0.997174317,1.005654742,0.998111772,0.084968354,0.227373418,0.992486415,0.996113082
1.7,0.029670597,0.990835955,0.99682691,1.005411835,0.997978778,0.015822785,0.124208861,0.992063056,0.995859936
1.8,0.031415927,0.990903926,0.996481901,1.005172087,0.99784394,0.000158228,0.05806962,0.991644907,0.995605517
1.9,0.033161256,0.990971323,0.996139239,1.004935464,0.997707245,,,0.991231929,0.995349813
2,0.034906585,0.991038141,0.995798876,1.00470193,0.997568679,,,0.990824086,0.995092811
2.1,0.036651914,0.99110437,0.995460763,1.004471449,0.997428228,,,0.990421338,0.9948345
2.2,0.038397244,0.991170005,0.995124849,1.004243987,0.997285881,,,0.990023649,0.994574869
2.3,0.040142573,0.991235037,0.994791086,1.004019508,0.997141622,,,0.989630979,0.994313905
2.4,0.041887902,0.991299459,0.994459426,1.003797979,0.99699544,,,0.989243293,0.994051597
2.5,0.043633231,0.991363263,0.994129819,1.003579364,0.996847322,,,0.988860551,0.993787934
2.6,0.045378561,0.991426443,0.993802218,1.003363628,0.996697253,,,0.988482717,0.993522903
2.7,0.04712389,0.99148899,0.993476573,1.003150737,0.996545222,,,0.988109753,0.993256494
2.8,0.048869219,0.991550898,0.993152838,1.002940656,0.996391215,,,0.987741622,0.992988695
