Angle deg,Incidence angle rad,IAM_log,IAM_transv
0,0,1.0031,0.9896
5,0.087266463,0.986418106,0.992736006
10,0.174532925,0.971933386,0.99384599
15,0.261799388,0.954600713,0.992002077
20,0.34906585,0.930380174,0.986276391
25,0.436332313,0.896237068,0.975741058
30,0.523598776,0.850141908,0.959468201
35,0.610865238,0.79107042,0.936529944
40,0.698131701,0.719003544,0.905998412
45,0.785398163,0.634927432,0.86694573
50,0.872664626,0.54083345,0.818444022
55,0.959931089,0.439718177,0.759565412
60,1.047197551,0.335583405,0.689382025
65,1.134464014,0.233436141,0.606965985
70,1.221730476,0.139288603,0.511389416
75,1.308996939,0.060158224,0.401724444
80,1.396263402,0.004067649,0.277043192
85,1.483529864,-0.019955264,0.136417784
90,1.570796327,-0.001877441,-0.021079654
