Angle deg,Incidence angle rad,IAM_long,IAM_transv
0,0,1,1.01
5,0.087266463,0.99247779,0.998961033
10,0.174532925,0.979339135,0.993060782
15,0.261799388,0.959294754,0.98847575
20,0.34906585,0.931389416,0.981890479
25,0.436332313,0.895001939,0.970497542
30,0.523598776,0.849845193,0.951997549
35,0.610865238,0.795966098,0.924599145
40,0.698131701,0.733745623,0.88701901
45,0.785398163,0.66389879,0.838481858
50,0.872664626,0.58747467,0.778720438
55,0.959931089,0.505856384,0.707975535
60,1.047197551,0.420761103,0.626995969
65,1.134464014,0.334240049,0.537038594
70,1.221730476,0.248678496,0.439868299
75,1.308996939,0.166795765,0.337758008
80,1.396263402,0.091645231,0.233488681
85,1.483529864,0.026614317,0.130349312
90,1.570796327,-0.024575504,0.032136929
