688160,Cape Town,,2,-33.967,18.600,  44
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,23.2,E,8,19.0,E,8,78,E,8,1005,E,8,173,E,8,3.2,E,8,-9990,0,0,-9990,0,0,3.519,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,22.2,E,8,19.0,E,8,82,E,8,1005,E,8,207,E,8,2.8,E,8,-9990,0,0,-9990,0,0,3.506,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,21.7,E,8,17.9,E,8,79,E,8,1005,E,8,204,E,8,2.8,E,8,-9990,0,0,-9990,0,0,3.259,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,21.2,E,8,18.5,E,8,84,E,8,1005,E,8,220,E,8,3.1,E,8,-9990,0,0,-9990,0,0,3.382,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,20.9,E,8,18.0,E,8,84,E,8,1005,E,8,218,E,8,2.6,E,8,-9990,0,0,-9990,0,0,3.268,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,6,220,1,3,10,0,3,20,1,3,10,137,3,10,14,3,20,137,3,10,-9990,0,0,0,E,8,0,E,8,20.8,E,8,18.1,E,8,85,E,8,1005,E,8,207,E,8,2.8,E,8,-9990,0,0,-9990,0,0,3.295,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,222,1412,133,3,10,477,3,20,58,3,10,13946,3,10,31613,3,20,8979,3,10,-9990,0,0,0,E,8,0,E,8,22.2,E,8,18.9,E,8,82,E,8,1005,E,8,231,E,8,2.4,E,8,-9990,0,0,-9990,0,0,3.492,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,503,1412,308,3,10,616,3,20,88,3,10,33488,3,10,54921,3,20,13933,3,10,-9990,0,0,0,E,8,0,E,8,23.9,E,8,19.2,E,8,75,E,8,1005,E,8,192,E,8,3.2,E,8,-9990,0,0,-9990,0,0,3.552,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,770,1412,500,3,10,633,3,20,155,3,10,54564,3,10,58221,3,20,22794,3,10,-9990,0,0,3,E,8,2,E,8,25.8,E,8,19.7,E,8,69,E,8,1005,E,8,214,E,8,3.0,E,8,-9990,0,0,-9990,0,0,3.681,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,1006,1412,752,3,10,799,3,20,182,3,10,83329,3,10,80092,3,20,26223,3,10,-9990,0,0,0,E,8,0,E,8,28.0,E,8,19.7,E,8,61,E,8,1005,E,8,253,E,8,5.0,E,8,-9990,0,0,-9990,0,0,3.685,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,1195,1412,829,3,10,555,3,20,359,3,10,90714,3,10,43350,3,20,54011,3,10,-9990,0,0,6,E,8,5,E,8,29.7,E,8,19.1,E,8,53,E,8,1005,E,8,185,E,8,4.7,E,8,-9990,0,0,-9990,0,0,3.524,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,1323,1412,569,3,10,132,3,20,445,3,10,64288,3,10,11656,3,20,53360,3,10,-9990,0,0,9,E,8,8,E,8,30.1,E,8,19.1,E,8,52,E,8,1005,E,8,226,E,8,5.0,E,8,-9990,0,0,-9990,0,0,3.527,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,1383,1412,780,3,10,302,3,20,485,3,10,87082,3,10,28256,3,20,59407,3,10,-9990,0,0,8,E,8,6,E,8,31.0,E,8,18.7,E,8,48,E,8,1005,E,8,190,E,8,5.6,E,8,-9990,0,0,-9990,0,0,3.428,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
