162390,Roma/Ciampino,,1,41.800,12.583, 131
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.7,E,8,5.6,E,8,86,E,8,995,E,8,83,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.368,E,8,0.096,E,8,0.20,E,8,1,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.4,E,8,4.3,E,8,80,E,8,995,E,8,72,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.253,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,7.1,E,8,3.8,E,8,80,E,8,995,E,8,114,E,8,0.6,E,8,-9990,0,0,-9990,0,0,1.212,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.9,E,8,3.6,E,8,79,E,8,995,E,8,220,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.197,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.8,E,8,3.4,E,8,79,E,8,995,E,8,128,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.176,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.7,E,8,3.5,E,8,80,E,8,995,E,8,117,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.189,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,10,E,8,9,E,8,6.5,E,8,3.3,E,8,80,E,8,995,E,8,96,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.168,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,5,203,1,3,10,0,3,20,1,3,10,76,3,10,13,3,20,76,3,10,-9990,0,0,10,E,8,9,E,8,6.6,E,8,2.9,E,8,77,E,8,995,E,8,147,E,8,1.6,E,8,-9990,0,0,-9990,0,0,1.139,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,178,1412,53,3,10,58,3,20,46,3,10,5867,3,10,2627,3,20,5537,3,10,-9990,0,0,10,E,8,9,E,8,7.7,E,8,3.5,E,8,75,E,8,995,E,8,79,E,8,1.2,E,8,-9990,0,0,-9990,0,0,1.182,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,366,1412,113,3,10,22,3,20,107,3,10,12490,3,10,2273,3,20,11901,3,10,-9990,0,0,10,E,8,9,E,8,8.9,E,8,3.9,E,8,71,E,8,995,E,8,118,E,8,3.4,E,8,-9990,0,0,-9990,0,0,1.218,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,504,1412,182,3,10,61,3,20,160,3,10,20096,3,10,5479,3,20,18139,3,10,-9990,0,0,10,E,8,9,E,8,10.1,E,8,3.3,E,8,63,E,8,995,E,8,50,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.173,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,583,1412,200,3,10,33,3,20,186,3,10,22127,3,10,2376,3,20,21146,3,10,-9990,0,0,10,E,8,9,E,8,11.1,E,8,3.6,E,8,60,E,8,995,E,8,136,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.192,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,597,1412,194,3,10,24,3,20,184,3,10,21718,3,10,2455,3,20,20680,3,10,-9990,0,0,10,E,8,9,E,8,11.7,E,8,3.8,E,8,58,E,8,995,E,8,100,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.209,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,545,1412,128,3,10,0,3,20,128,3,10,14585,3,10,0,3,20,14585,3,10,-9990,0,0,10,E,8,9,E,8,11.7,E,8,3.6,E,8,57,E,8,996,E,8,58,E,8,3.2,E,8,-9990,0,0,-9990,0,0,1.192,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,431,1412,98,3,10,0,3,20,98,3,10,11091,3,10,0,3,20,11091,3,10,-9990,0,0,10,E,8,9,E,8,11.5,E,8,3.7,E,8,59,E,8,996,E,8,55,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.201,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,262,1412,56,3,10,0,3,20,56,3,10,6267,3,10,0,3,20,6267,3,10,-9990,0,0,10,E,8,9,E,8,11.0,E,8,4.0,E,8,62,E,8,996,E,8,131,E,8,3.9,E,8,-9990,0,0,-9990,0,0,1.232,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,28,499,2,3,10,0,3,20,2,3,10,311,3,10,12,3,20,311,3,10,-9990,0,0,10,E,8,9,E,8,10.2,E,8,6.6,E,8,78,E,8,996,E,8,36,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.471,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.7,E,8,7.5,E,8,86,E,8,996,E,8,110,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.565,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,9.1,E,8,6.9,E,8,86,E,8,997,E,8,97,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.505,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,8.5,E,8,6.3,E,8,86,E,8,997,E,8,101,E,8,2.0,E,8,-9990,0,0,-9990,0,0,1.447,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,7.9,E,8,5.8,E,8,86,E,8,997,E,8,114,E,8,2.2,E,8,-9990,0,0,-9990,0,0,1.391,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,9,E,8,8,E,8,7.4,E,8,5.2,E,8,86,E,8,997,E,8,75,E,8,1.1,E,8,-9990,0,0,-9990,0,0,1.338,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
