Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-33.4619,-70.6852,-4,519
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2007,1,1,0,0,0.0,0.0,0.0,19.2,19.2,61.7,952.7,0.8,198.0,0
2007,1,1,1,0,0.0,0.0,0.0,18.4,18.4,69.1,950.7,0.6,198.0,0
2007,1,1,2,0,0.0,0.0,0.0,17.8,17.8,72.8,949.8,0.5,201.0,0
2007,1,1,3,0,0.0,0.0,0.0,17.1,17.1,77.2,948.5,0.3,198.0,0
2007,1,1,4,0,0.0,0.0,0.0,15.7,15.7,81.5,947.2,0.3,207.0,0
2007,1,1,5,0,0.0,0.0,0.0,15.2,15.2,83.1,948.2,0.4,211.5,0
2007,1,1,6,0,17.1,0.0,17.1,14.6,14.6,90.4,946.5,0.4,205.5,0
2007,1,1,7,0,240.8,738.6,47.4,13.8,13.8,90.7,944.9,0.4,219.0,0
2007,1,1,8,0,463.5,865.7,66.6,15.9,15.9,88.9,948.4,0.6,232.5,0
2007,1,1,9,0,674.2,927.9,81.5,18.5,18.5,81.4,951.2,0.9,249.0,0
2007,1,1,10,0,854.6,963.7,93.2,21.9,21.9,66.3,953.2,1.1,232.5,0
2007,1,1,11,0,990.2,984.8,101.7,25.0,25.0,51.5,955.4,1.7,232.5,0
2007,1,1,12,0,1066.7,992.4,106.3,27.1,27.1,47.2,957.3,2.4,226.5,0
2007,1,1,13,0,1081.7,992.4,107.2,28.7,28.7,43.8,960.7,3.0,225.0,0
2007,1,1,14,0,1034.3,985.2,104.3,29.9,29.9,42.1,963.0,3.4,225.0,0
2007,1,1,15,0,929.3,970.9,97.9,29.3,29.3,36.6,962.7,3.6,226.5,0
2007,1,1,16,0,773.3,945.1,87.9,28.3,28.3,33.3,961.9,3.5,225.0,0
2007,1,1,17,0,578.4,900.8,74.8,27.3,27.3,33.6,960.6,3.3,223.5,0
2007,1,1,18,0,359.4,815.1,58.2,25.8,25.8,34.2,960.2,3.0,223.5,0
2007,1,1,19,0,141.2,620.2,36.0,24.1,24.1,38.8,960.1,2.4,217.5,0
2007,1,1,20,0,0.0,0.0,0.0,22.3,22.3,41.4,958.9,1.8,208.5,0
2007,1,1,21,0,0.0,0.0,0.0,20.8,20.8,46.7,957.9,1.6,198.0,0
2007,1,1,22,0,0.0,0.0,0.0,19.8,19.8,52.4,956.8,1.3,196.5,0
2007,1,1,23,0,0.0,0.0,0.0,19.2,19.2,56.5,955.7,0.8,199.5,0
2007,1,2,0,0,0.0,0.0,0.0,18.5,18.5,58.5,955.2,0.5,202.5,0
2007,1,2,1,0,0.0,0.0,0.0,17.8,17.8,61.1,954.0,0.1,204.0,0
2007,1,2,2,0,0.0,0.0,0.0,17.3,17.3,67.5,953.4,0.2,205.5,0
2007,1,2,3,0,0.0,0.0,0.0,16.8,16.8,71.7,952.8,0.1,196.5,0
2007,1,2,4,0,0.0,0.0,0.0,15.9,15.9,74.6,952.8,0.2,198.0,0
2007,1,2,5,0,0.0,0.0,0.0,15.4,15.4,76.0,953.4,0.2,178.5,0
2007,1,2,6,0,16.6,0.0,16.6,14.9,14.9,84.4,952.5,0.4,186.0,0
2007,1,2,7,0,240.7,745.3,47.3,14.6,14.6,81.1,952.0,0.4,204.0,0
2007,1,2,8,0,463.6,869.9,66.5,16.2,16.2,82.7,953.3,0.6,222.0,0
2007,1,2,9,0,676.0,933.4,81.6,19.4,19.4,76.8,956.9,0.8,244.5,0
2007,1,2,10,0,858.4,970.0,93.4,22.3,22.3,61.1,958.8,1.1,231.0,0
2007,1,2,11,0,995.8,991.7,102.0,25.1,25.1,49.7,960.7,1.7,232.5,0
2007,1,2,12,0,1075.6,1001.6,106.8,27.2,27.2,45.8,962.6,2.4,228.0,0
2007,1,2,13,0,1093.5,1003.8,107.9,28.5,28.5,41.1,964.6,3.0,225.0,0
2007,1,2,14,0,1048.2,998.7,105.2,29.5,29.5,38.7,966.9,3.3,223.5,0
2007,1,2,15,0,943.0,985.3,98.7,29.0,29.0,36.4,965.8,3.5,225.0,0
2007,1,2,16,0,786.2,960.9,88.8,28.1,28.1,35.2,964.6,3.4,223.5,0
2007,1,2,17,0,589.7,918.2,75.5,27.1,27.1,34.3,963.3,3.2,222.0,0
2007,1,2,18,0,366.4,830.7,58.7,25.6,25.6,33.5,962.6,2.9,220.5,0
2007,1,2,19,0,144.5,635.0,36.3,23.5,23.5,33.8,962.4,2.1,214.5,0
2007,1,2,20,0,0.0,0.0,0.0,21.1,21.1,37.1,961.4,1.5,205.5,0
2007,1,2,21,0,0.0,0.0,0.0,19.3,19.3,43.6,960.5,1.3,198.0,0
2007,1,2,22,0,0.0,0.0,0.0,18.2,18.2,49.2,959.5,0.9,198.0,0
2007,1,2,23,0,0.0,0.0,0.0,17.1,17.1,56.4,958.0,0.3,207.0,0
2007,1,3,0,0,0.0,0.0,0.0,16.2,16.2,60.0,956.9,0.2,216.0,0
2007,1,3,1,0,0.0,0.0,0.0,15.6,15.6,65.1,955.9,0.1,229.5,0
2007,1,3,2,0,0.0,0.0,0.0,15.1,15.1,70.8,954.6,0.1,253.5,0
2007,1,3,3,0,0.0,0.0,0.0,14.6,14.6,74.6,953.9,0.2,282.0,0
2007,1,3,4,0,0.0,0.0,0.0,14.2,14.2,75.0,953.0,0.2,79.5,0
2007,1,3,5,0,0.0,0.0,0.0,13.7,13.7,78.1,952.1,0.3,69.0,0
2007,1,3,6,0,16.1,0.0,16.1,14.7,14.7,85.1,954.2,0.2,100.5,0
2007,1,3,7,0,242.9,760.5,47.4,15.5,15.5,83.3,957.0,0.1,124.5,0
2007,1,3,8,0,468.4,884.1,66.7,17.9,17.9,84.8,958.6,0.3,262.5,0
2007,1,3,9,0,681.2,943.6,81.8,20.9,20.9,73.0,961.1,0.8,249.0,0
2007,1,3,10,0,862.6,976.8,93.7,23.9,23.9,57.5,963.2,1.1,237.0,0
2007,1,3,11,0,998.3,995.5,102.1,26.6,26.6,47.9,964.8,1.7,235.5,0
2007,1,3,12,0,1075.5,1002.1,106.9,28.8,28.8,43.4,966.7,2.4,228.0,0
2007,1,3,13,0,1090.7,1001.3,107.8,30.2,30.2,40.2,968.4,3.0,225.0,0
2007,1,3,14,0,1043.2,993.6,105.0,31.0,31.0,35.5,970.7,3.3,225.0,0
2007,1,3,15,0,936.3,977.4,98.4,30.5,30.5,34.7,969.0,3.3,223.5,0
2007,1,3,16,0,778.8,950.4,88.4,29.7,29.7,34.2,967.6,3.3,223.5,0
2007,1,3,17,0,582.4,904.8,75.1,28.4,28.4,34.4,966.4,3.1,223.5,0
2007,1,3,18,0,366.2,828.3,58.7,26.8,26.8,34.8,965.3,2.8,220.5,0
2007,1,3,19,0,146.9,645.4,36.5,24.8,24.8,36.2,964.2,2.1,216.0,0
2007,1,3,20,0,0.0,0.0,0.0,22.5,22.5,41.0,963.2,1.5,207.0,0
2007,1,3,21,0,0.0,0.0,0.0,20.9,20.9,49.3,961.7,1.2,199.5,0
2007,1,3,22,0,0.0,0.0,0.0,19.6,19.6,55.8,960.3,0.8,201.0,0
2007,1,3,23,0,0.0,0.0,0.0,18.5,18.5,60.8,958.8,0.3,211.5,0
2007,1,4,0,0,0.0,0.0,0.0,17.4,17.4,66.6,957.2,0.1,222.0,0
2007,1,4,1,0,0.0,0.0,0.0,16.6,16.6,68.5,955.6,0.0,235.5,0
2007,1,4,2,0,0.0,0.0,0.0,16.0,16.0,72.7,953.9,0.1,250.5,0
2007,1,4,3,0,0.0,0.0,0.0,15.4,15.4,75.9,952.6,0.2,300.0,0
2007,1,4,4,0,0.0,0.0,0.0,14.6,14.6,78.4,951.3,0.3,346.5,0
2007,1,4,5,0,0.0,0.0,0.0,13.9,13.9,81.2,949.6,0.5,22.5,0
2007,1,4,6,0,15.4,0.0,15.4,15.1,15.1,86.0,952.5,0.2,27.0,0
2007,1,4,7,0,238.3,751.3,46.9,16.1,16.1,86.9,954.7,0.1,24.0,0
2007,1,4,8,0,464.0,879.5,66.4,18.5,18.5,84.9,957.0,0.2,306.0,0
2007,1,4,9,0,677.4,941.0,81.5,21.8,21.8,71.7,960.2,0.7,259.5,0
2007,1,4,10,0,859.9,975.6,93.4,25.1,25.1,57.5,962.4,1.0,243.0,0
2007,1,4,11,0,997.1,995.5,101.9,28.0,28.0,48.0,964.5,1.5,232.5,0
2007,1,4,12,0,1075.5,1003.0,106.8,30.4,30.4,40.2,966.8,2.2,228.0,0
2007,1,4,13,0,1091.9,1002.9,107.7,32.0,32.0,39.2,969.0,2.8,225.0,0
2007,1,4,14,0,1045.2,995.6,104.9,32.8,32.8,35.1,971.7,3.2,223.5,0
2007,1,4,15,0,939.5,980.6,98.4,32.3,32.3,33.3,970.1,3.3,223.5,0
2007,1,4,16,0,782.5,954.6,88.5,31.5,31.5,30.5,968.8,3.3,223.5,0
2007,1,4,17,0,586.0,909.9,75.2,30.5,30.5,30.3,967.4,3.1,222.0,0
2007,1,4,18,0,366.0,826.3,58.6,29.2,29.2,30.3,966.1,2.8,222.0,0
2007,1,4,19,0,145.4,635.0,36.4,27.2,27.2,32.4,965.0,2.0,217.5,0
2007,1,4,20,0,0.0,0.0,0.0,24.7,24.7,38.4,964.0,1.3,211.5,0
2007,1,4,21,0,0.0,0.0,0.0,22.8,22.8,43.5,962.8,0.9,205.5,0
2007,1,4,22,0,0.0,0.0,0.0,21.5,21.5,50.0,961.2,0.6,207.0,0
2007,1,4,23,0,0.0,0.0,0.0,20.3,20.3,56.9,959.3,0.2,210.0,0
2007,1,5,0,0,0.0,0.0,0.0,19.0,19.0,65.0,957.7,0.2,220.5,0
2007,1,5,1,0,0.0,0.0,0.0,18.1,18.1,68.1,956.1,0.4,250.5,0
2007,1,5,2,0,0.0,0.0,0.0,17.5,17.5,70.9,954.6,0.3,316.5,0
2007,1,5,3,0,0.0,0.0,0.0,17.2,17.2,73.9,953.1,0.5,3.0,0
2007,1,5,4,0,0.0,0.0,0.0,16.6,16.6,75.5,952.1,0.4,30.0,0
2007,1,5,5,0,0.0,0.0,0.0,16.0,16.0,77.9,951.7,0.6,33.0,0
2007,1,5,6,0,14.8,0.0,14.8,16.6,16.6,81.9,953.9,0.2,25.5,0
2007,1,5,7,0,235.6,748.8,46.6,17.3,17.3,81.5,954.5,0.1,19.5,0
2007,1,5,8,0,460.3,876.1,66.1,19.5,19.5,82.0,957.2,0.1,0.0,0
2007,1,5,9,0,673.1,937.5,81.2,22.4,22.4,72.4,959.0,0.5,309.0,0
2007,1,5,10,0,855.2,971.8,93.1,25.5,25.5,58.0,960.3,0.8,256.5,0
2007,1,5,11,0,991.8,991.3,101.6,28.1,28.1,46.5,960.9,1.4,234.0,0
2007,1,5,12,0,1069.9,998.2,106.4,30.3,30.3,38.7,962.3,2.2,226.5,0
2007,1,5,13,0,1086.3,997.8,107.4,31.5,31.5,37.7,963.2,2.7,223.5,0
2007,1,5,14,0,1039.6,990.0,104.5,32.1,32.1,34.9,964.5,3.3,222.0,0
2007,1,5,15,0,934.9,975.3,98.1,31.5,31.5,33.8,963.4,3.3,222.0,0
2007,1,5,16,0,778.8,949.1,88.2,30.6,30.6,31.1,962.1,3.3,222.0,0
2007,1,5,17,0,583.4,904.5,75.0,29.6,29.6,31.2,960.6,3.1,222.0,0
2007,1,5,18,0,366.3,826.2,58.6,28.1,28.1,31.5,959.9,2.9,220.5,0
2007,1,5,19,0,146.8,640.7,36.5,26.0,26.0,34.6,959.7,2.1,219.0,0
2007,1,5,20,0,0.0,0.0,0.0,23.3,23.3,39.5,959.0,1.5,210.0,0
2007,1,5,21,0,0.0,0.0,0.0,21.5,21.5,45.4,957.9,1.1,201.0,0
2007,1,5,22,0,0.0,0.0,0.0,20.2,20.2,51.6,956.4,0.9,199.5,0
