855740,Santiago,,-4,-33.383,-70.783, 474
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,18.7,E,8,12.6,E,8,68,E,8,961,E,8,173,E,8,1.3,E,8,-9990,0,0,-9990,0,0,2.245,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,17.9,E,8,12.7,E,8,71,E,8,961,E,8,207,E,8,0.9,E,8,-9990,0,0,-9990,0,0,2.250,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,17.5,E,8,11.6,E,8,68,E,8,961,E,8,204,E,8,1.0,E,8,-9990,0,0,-9990,0,0,2.088,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,17.1,E,8,12.2,E,8,73,E,8,961,E,8,310,E,8,1.3,E,8,-9990,0,0,-9990,0,0,2.179,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,16.8,E,8,11.7,E,8,72,E,8,961,E,8,218,E,8,0.9,E,8,-9990,0,0,-9990,0,0,2.106,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,7,230,1,3,10,0,3,20,1,3,10,112,3,10,13,3,20,112,3,10,-9990,0,0,0,E,8,0,E,8,16.8,E,8,11.4,E,8,71,E,8,961,E,8,207,E,8,1.1,E,8,-9990,0,0,-9990,0,0,2.063,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,228,1412,115,3,10,435,3,20,45,3,10,12145,3,10,31067,3,20,7129,3,10,-9990,0,0,0,E,8,0,E,8,18.3,E,8,12.3,E,8,68,E,8,961,E,8,231,E,8,0.9,E,8,-9990,0,0,-9990,0,0,2.202,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,511,1412,319,3,10,682,3,20,73,3,10,34817,3,10,64137,3,20,11621,3,10,-9990,0,0,0,E,8,0,E,8,20.8,E,8,12.7,E,8,60,E,8,961,E,8,192,E,8,1.5,E,8,-9990,0,0,-9990,0,0,2.261,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,779,1412,545,3,10,819,3,20,93,3,10,59789,3,10,83567,3,20,13667,3,10,-9990,0,0,0,E,8,0,E,8,24.0,E,8,13.4,E,8,51,E,8,961,E,8,214,E,8,1.3,E,8,-9990,0,0,-9990,0,0,2.372,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,1015,1412,708,3,10,725,3,20,186,3,10,77401,3,10,71351,3,20,26083,3,10,-9990,0,0,3,E,8,2,E,8,27.0,E,8,13.4,E,8,43,E,8,961,E,8,253,E,8,3.2,E,8,-9990,0,0,-9990,0,0,2.367,E,8,0.096,E,8,0.20,E,8,0,-9990,0,0
