83910,SEVILLA (CIV/MIL),,1,37.410,-5.900,  31
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,14.5,E,8,9.2,E,8,71,E,8,1010,E,8,173,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.767,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,13.9,E,8,8.5,E,8,70,E,8,1010,E,8,297,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.684,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,13.3,E,8,8.6,E,8,73,E,8,1010,E,8,294,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.694,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,13.0,E,8,8.7,E,8,75,E,8,1010,E,8,310,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.703,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,12.7,E,8,8.4,E,8,75,E,8,1010,E,8,308,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.672,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,12.4,E,8,8.2,E,8,76,E,8,1010,E,8,297,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.648,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,12.2,E,8,8.5,E,8,78,E,8,1010,E,8,321,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.681,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,12.0,E,8,9.6,E,8,85,E,8,1010,E,8,282,E,8,1.0,E,8,-9990,0,0,-9990,0,0,1.816,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,09:00,5,200,0,3,10,0,3,20,0,3,10,65,3,10,11,3,20,65,3,10,-9990,0,0,4,E,8,3,E,8,12.0,E,8,9.6,E,8,85,E,8,1010,E,8,169,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.818,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,10:00,193,1412,85,3,10,253,3,20,50,3,10,8900,3,10,11797,3,20,7284,3,10,-9990,0,0,4,E,8,3,E,8,13.4,E,8,10.0,E,8,80,E,8,1010,E,8,343,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.864,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,11:00,405,1412,217,3,10,428,3,20,94,3,10,23144,3,10,32400,3,20,13858,3,10,-9990,0,0,4,E,8,3,E,8,15.3,E,8,10.5,E,8,73,E,8,1010,E,8,140,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.932,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,12:00,565,1412,334,3,10,564,3,20,108,3,10,35345,3,10,48776,3,20,15812,3,10,-9990,0,0,3,E,8,2,E,8,16.9,E,8,9.5,E,8,61,E,8,1010,E,8,181,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.798,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,13:00,665,1412,418,3,10,645,3,20,114,3,10,44787,3,10,59372,3,20,16833,3,10,-9990,0,0,0,E,8,0,E,8,18.4,E,8,9.7,E,8,57,E,8,1010,E,8,145,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.827,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,14:00,696,1412,439,3,10,616,3,20,135,3,10,46652,3,10,55514,3,20,19290,3,10,-9990,0,0,3,E,8,2,E,8,19.5,E,8,9.6,E,8,53,E,8,1010,E,8,103,E,8,4.0,E,8,-9990,0,0,-9990,0,0,1.812,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,15:00,657,1412,414,3,10,656,3,20,109,3,10,44496,3,10,60699,3,20,16262,3,10,-9990,0,0,0,E,8,0,E,8,20.2,E,8,10.0,E,8,52,E,8,1010,E,8,145,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.865,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,16:00,550,1412,334,3,10,608,3,20,97,3,10,35543,3,10,53967,3,20,14523,3,10,-9990,0,0,0,E,8,0,E,8,20.4,E,8,10.2,E,8,52,E,8,1010,E,8,176,E,8,5.2,E,8,-9990,0,0,-9990,0,0,1.900,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,17:00,383,1412,215,3,10,555,3,20,65,3,10,22837,3,10,47199,3,20,10042,3,10,-9990,0,0,4,E,8,3,E,8,20.1,E,8,9.8,E,8,52,E,8,1010,E,8,126,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.841,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,18:00,167,1412,78,3,10,340,3,20,38,3,10,8072,3,10,18830,3,20,5850,3,10,-9990,0,0,4,E,8,3,E,8,19.1,E,8,10.5,E,8,57,E,8,1010,E,8,155,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.938,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,19:00,2,121,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,4,E,8,3,E,8,18.0,E,8,9.1,E,8,56,E,8,1010,E,8,142,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.757,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,17.1,E,8,9.3,E,8,60,E,8,1010,E,8,146,E,8,1.9,E,8,-9990,0,0,-9990,0,0,1.785,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,4,E,8,3,E,8,16.2,E,8,9.2,E,8,63,E,8,1011,E,8,159,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.768,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,15.4,E,8,8.9,E,8,65,E,8,1011,E,8,120,E,8,0.7,E,8,-9990,0,0,-9990,0,0,1.724,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,14.4,E,8,8.3,E,8,67,E,8,1011,E,8,310,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.658,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/01/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,13.4,E,8,8.3,E,8,71,E,8,1011,E,8,261,E,8,0.3,E,8,-9990,0,0,-9990,0,0,1.659,E,8,0.082,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,12.4,E,8,9.1,E,8,81,E,8,1011,E,8,292,E,8,0.4,E,8,-9990,0,0,-9990,0,0,1.760,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,11.3,E,8,8.8,E,8,85,E,8,1011,E,8,265,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.721,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,3,E,8,2,E,8,10.2,E,8,8.7,E,8,90,E,8,1011,E,8,145,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.710,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,9.7,E,8,8.7,E,8,94,E,8,1011,E,8,110,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.708,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,9.1,E,8,8.4,E,8,95,E,8,1011,E,8,142,E,8,2.5,E,8,-9990,0,0,-9990,0,0,1.668,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,8.5,E,8,7.8,E,8,95,E,8,1011,E,8,125,E,8,1.5,E,8,-9990,0,0,-9990,0,0,1.600,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,8.1,E,8,8.0,E,8,99,E,8,1011,E,8,142,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.621,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,08:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,1,E,8,1,E,8,7.7,E,8,7.5,E,8,99,E,8,1011,E,8,119,E,8,0.8,E,8,-9990,0,0,-9990,0,0,1.572,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,09:00,5,198,1,3,10,0,3,20,1,3,10,79,3,10,12,3,20,79,3,10,-9990,0,0,0,E,8,0,E,8,7.6,E,8,7.6,E,8,100,E,8,1011,E,8,219,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.580,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,10:00,193,1412,104,3,10,440,3,20,44,3,10,10759,3,10,29562,3,20,6716,3,10,-9990,0,0,0,E,8,0,E,8,9.1,E,8,8.6,E,8,97,E,8,1011,E,8,181,E,8,1.3,E,8,-9990,0,0,-9990,0,0,1.696,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,11:00,405,1412,254,3,10,709,3,20,51,3,10,27045,3,10,66108,3,20,8093,3,10,-9990,0,0,0,E,8,0,E,8,11.0,E,8,9.6,E,8,91,E,8,1011,E,8,147,E,8,2.1,E,8,-9990,0,0,-9990,0,0,1.823,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,12:00,566,1412,385,3,10,826,3,20,54,3,10,41814,3,10,83735,3,20,8243,3,10,-9990,0,0,0,E,8,0,E,8,13.0,E,8,9.3,E,8,79,E,8,1011,E,8,211,E,8,1.4,E,8,-9990,0,0,-9990,0,0,1.785,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,13:00,666,1412,470,3,10,878,3,20,56,3,10,50961,3,10,90107,3,20,8460,3,10,-9990,0,0,0,E,8,0,E,8,14.6,E,8,8.0,E,8,65,E,8,1011,E,8,311,E,8,2.9,E,8,-9990,0,0,-9990,0,0,1.629,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,14:00,698,1412,491,3,10,870,3,20,62,3,10,53091,3,10,88752,3,20,9236,3,10,-9990,0,0,0,E,8,0,E,8,15.8,E,8,7.5,E,8,58,E,8,1012,E,8,151,E,8,3.6,E,8,-9990,0,0,-9990,0,0,1.566,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,15:00,659,1412,456,3,10,822,3,20,72,3,10,49330,3,10,82456,3,20,10844,3,10,-9990,0,0,0,E,8,0,E,8,16.2,E,8,6.4,E,8,52,E,8,1012,E,8,150,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.448,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,16:00,553,1412,382,3,10,823,3,20,60,3,10,41052,3,10,81562,3,20,9129,3,10,-9990,0,0,0,E,8,0,E,8,16.4,E,8,5.9,E,8,50,E,8,1012,E,8,157,E,8,3.3,E,8,-9990,0,0,-9990,0,0,1.404,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,17:00,386,1412,251,3,10,754,3,20,45,3,10,27014,3,10,73131,3,20,7034,3,10,-9990,0,0,0,E,8,0,E,8,16.0,E,8,5.6,E,8,50,E,8,1012,E,8,156,E,8,2.3,E,8,-9990,0,0,-9990,0,0,1.370,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,18:00,170,1412,94,3,10,508,3,20,33,3,10,9424,3,10,34230,3,20,5308,3,10,-9990,0,0,0,E,8,0,E,8,14.9,E,8,5.6,E,8,54,E,8,1012,E,8,186,E,8,2.7,E,8,-9990,0,0,-9990,0,0,1.374,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,19:00,2,129,0,3,10,0,3,20,0,3,10,0,3,10,0,3,20,0,3,10,-9990,0,0,0,E,8,0,E,8,13.5,E,8,5.3,E,8,57,E,8,1012,E,8,197,E,8,0.9,E,8,-9990,0,0,-9990,0,0,1.343,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,20:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,12.7,E,8,6.2,E,8,64,E,8,1012,E,8,303,E,8,0.5,E,8,-9990,0,0,-9990,0,0,1.428,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,21:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,11.9,E,8,6.7,E,8,70,E,8,1012,E,8,288,E,8,0.2,E,8,-9990,0,0,-9990,0,0,1.486,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,22:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,11.2,E,8,6.2,E,8,71,E,8,1012,E,8,290,E,8,0.2,E,8,-9990,0,0,-9990,0,0,1.432,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,23:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,10.4,E,8,6.1,E,8,75,E,8,1012,E,8,267,E,8,0.1,E,8,-9990,0,0,-9990,0,0,1.419,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/02/2005,24:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,9.6,E,8,5.5,E,8,75,E,8,1012,E,8,323,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.362,E,8,0.068,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,01:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,9.1,E,8,5.3,E,8,77,E,8,1012,E,8,299,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.341,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,02:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,8.7,E,8,5.8,E,8,82,E,8,1012,E,8,305,E,8,0.0,E,8,-9990,0,0,-9990,0,0,1.392,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,03:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,8.3,E,8,5.7,E,8,84,E,8,1012,E,8,302,E,8,0.1,E,8,-9990,0,0,-9990,0,0,1.380,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,04:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,8.1,E,8,5.8,E,8,86,E,8,1012,E,8,306,E,8,0.1,E,8,-9990,0,0,-9990,0,0,1.392,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,05:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,7.9,E,8,6.1,E,8,89,E,8,1012,E,8,309,E,8,0.1,E,8,-9990,0,0,-9990,0,0,1.426,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,06:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,7.7,E,8,5.9,E,8,88,E,8,1012,E,8,306,E,8,0.1,E,8,-9990,0,0,-9990,0,0,1.397,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
01/03/2005,07:00,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,-9990,0,0,0,E,8,0,E,8,7.5,E,8,5.2,E,8,85,E,8,1012,E,8,308,E,8,0.1,E,8,-9990,0,0,-9990,0,0,1.337,E,8,0.059,E,8,0.20,E,8,0,-9990,0,0
